activation,position,word,sent_nr,retrieve_wh,reanalysis,agreeing_actions,matching_fs,fan_size
2.0991606658886344,1,the,1,None,no,2.0,6.5,1440528.923076923
3.177933103896185,2,horse,1,None,no,2.5,6.25,1545911.9615384615
4.8773591295471554,3,raced,1,None,yes,2.6666666666666665,8.833333333333334,1426085.6190476192
6.322021399547574,4,past,1,None,no,3.0,9.0,1550604.6666666667
6.380354994825731,5,the,1,None,no,3.0,9.0,1519423.3333333333
4.994934165236922,6,barn,1,None,yes,3.0,7.0,1886637.5714285714
5.555432523410021,7,fell,1,None,yes,6.0,8.444444444444445,3390982.2420634925
5.545494719134159,8,.,1,None,no,4.777777777777778,10.57037037037037,2310711.0100809685
2.0991606658886344,1,the,2,None,no,2.0,6.5,1440528.923076923
3.177933103896185,2,horse,2,None,no,2.5,6.25,1545911.9615384615
6.5033273505189415,3,which,2,None,no,3.0,8.777777777777779,1494390.0859788358
8.529458928036755,4,was,2,None,no,2.75,12.375,916851.8116402116
6.383469999837178,5,raced,2,None,no,2.0,15.5,851930.3225806452
7.27405405301833,6,past,2,None,no,14.666666666666666,9.631578947368421,6995121.638888888
7.2540181847632725,7,the,2,None,no,3.0,10.0,1416169.2
6.301611936370941,8,barn,2,None,yes,3.0,9.0,1577101.0
6.001857835601752,9,fell,2,None,no,2.3529411764705883,14.088235294117647,1121167.2272465883
8.486277427005666,10,.,2,None,no,6.5,11.0,2540472.0454545454
2.307205543785982,1,while,3,None,no,2.0,7.0,1322829.857142857
3.738449730029636,2,she,3,None,no,2.5,6.666666666666666,1405592.8759398498
7.551416013410824,3,mended,3,None,no,3.0,9.0,1405410.375
6.67204971379728,4,the,3,None,no,2.0,17.5,764277.6571428571
7.322446787653105,5,sock,3,None,no,3.0,9.333333333333334,1430088.75
3.5280259901068027,6,fell,3,None,yes,3.0,13.333333333333334,1660423.875
6.142566927452128,7,on,3,None,no,2.75,10.041666666666666,1390674.562123746
7.318507315691242,8,the,3,None,no,3.0,10.0,1440476.9
8.159959704543512,9,floor,3,None,yes,3.0,10.333333333333334,1386645.7741935484
6.944807606186148,10,.,3,None,no,6.666666666666667,14.925925925925924,2869923.218548118
2.307205543785982,1,while,4,None,no,2.0,7.0,1322829.857142857
3.738449730029636,2,she,4,None,no,2.5,6.666666666666666,1405592.8759398498
7.551416013410824,3,mended,4,None,yes,3.0,9.0,1405410.375
5.948220647737169,4,",",4,None,no,2.75,13.166666666666666,1205534.0343822844
8.501527424748442,5,the,4,None,no,3.0,10.333333333333334,1272989.6129032257
9.836068708829966,6,sock,4,None,no,12.0,12.0,4566186.0
9.278218534673396,7,fell,4,None,no,3.0,11.333333333333334,1180895.2794670847
8.778251013950369,8,on,4,None,no,3.0,11.0,1259785.0
8.395329880588488,9,the,4,None,no,3.0,11.0,1267344.3636363635
6.782984961144398,10,floor,4,None,no,3.0,9.0,1506042.0
7.751449001311717,11,.,4,None,no,2.5714285714285716,14.666666666666666,1059113.8529113014
3.9831860215633106,1,he,5,None,no,2.0,11.666666666666668,1030551.0199999999
4.979691560264415,2,convinced,5,None,no,2.5,9.583333333333334,1244205.51
7.599766004669824,3,her,5,None,no,3.0,9.333333333333334,1371127.8214285714
7.0391007472371525,4,tired,5,None,no,3.0,9.0,1431177.0
4.821274407782793,5,children,5,None,no,20.0,7.0,12391731.42857143
1.5966423510238443,6,are,5,None,no,1.0,15.0,835478.2666666667
1.6206183946773218,7,noisy,5,None,yes,1.0,15.333333333333334,788498.7189542484
5.686826893158641,8,.,5,None,no,2.6666666666666665,11.296296296296298,1336452.5696893886
3.9831860215633106,1,he,6,None,no,2.0,11.666666666666668,1030551.0199999999
4.979691560264415,2,convinced,6,None,no,2.5,9.583333333333334,1244205.51
7.599766004669824,3,her,6,None,no,3.0,9.333333333333334,1371127.8214285714
4.889168034895067,4,that,6,None,no,2.0,14.0,852693.7857142857
5.042906328917689,5,tired,6,None,no,3.0,7.0,1841145.4285714286
4.72743319813549,6,children,6,None,no,3.0,7.0,1863355.2857142857
6.095449225127027,7,are,6,None,no,2.6666666666666665,8.833333333333334,1425604.8303643726
8.40395680344135,8,noisy,6,None,yes,7.0,10.0,3219416.2
7.979151544408863,9,.,6,None,no,6.181818181818182,10.266899766899767,2705139.5929591367
4.052203985719376,1,she,7,None,no,2.0,11.166666666666668,1048230.2699999999
5.055876236739027,2,gave,7,None,no,2.5,9.333333333333334,1252369.9266666668
6.138491704885913,3,the,7,None,no,2.0,16.0,822317.1875
8.64010523392551,4,boy,7,None,yes,3.0,10.333333333333334,1296018.0967741935
7.426055388570235,5,the,7,None,no,3.0,8.777777777777779,1537815.1547619049
6.597755127359422,6,dog,7,None,no,3.0,8.333333333333334,1697905.68
4.742708734644321,7,bit,7,None,no,2.3333333333333335,11.166666666666666,1206076.3162698413
7.164722948845894,8,a,7,None,no,13.0,10.0,6107089.3
5.454888635049253,9,bandage,7,None,yes,3.0,8.0,1703588.25
6.379684128763792,10,.,7,None,no,9.4,11.228787878787879,4069582.4764543786
4.052203985719376,1,she,8,None,no,2.0,11.166666666666668,1048230.2699999999
5.055876236739027,2,gave,8,None,no,2.5,9.333333333333334,1252369.9266666668
6.138491704885913,3,the,8,None,no,2.0,16.0,822317.1875
8.64010523392551,4,boy,8,None,no,3.0,10.333333333333334,1296018.0967741935
4.606198294802994,5,that,8,None,no,2.0,13.0,1038224.4615384615
7.36930788694476,6,the,8,None,no,6.0,10.0,2750704.8
7.287963668240994,7,dog,8,None,no,20.0,10.0,9331880.0
7.245418822100452,8,bit,8,None,no,4.333333333333333,10.65079365079365,1986771.891005291
8.199692915589706,9,a,8,None,no,6.0,11.0,2591240.727272727
7.34045718799627,10,bandage,8,None,yes,8.0,10.0,3728480.8
7.608831875612305,11,.,8,None,no,6.714285714285714,11.667388167388168,2802755.540317635
2.292208401465001,1,without,9,None,no,2.0,7.0,1322632.7142857143
2.399267326779725,2,her,9,None,no,2.0,7.25,1285783.2904761904
5.185861083780041,3,rich,9,None,no,3.0,7.0,1814393.2857142857
5.1944747280460435,4,contributions,9,None,yes,3.0,7.0,1817170.5714285714
4.624684125873319,5,will,9,None,no,2.3333333333333335,10.166666666666666,1287025.6845238095
6.135639670755946,6,be,9,None,no,3.0,8.0,1584850.875
6.130098814214756,7,inadequate,9,None,yes,34.0,8.0,17989417.0
7.5896519949923755,8,.,9,None,no,16.5,9.5,7304896.233333333
2.292208401465001,1,without,10,None,no,2.0,7.0,1322632.7142857143
